    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0           207    0.066576              0.748616  0.202119             26   
1           204    0.067935              0.906350  0.063338             28   
2            89    0.067935              0.889948  0.196942             15   
3           390    0.066123              0.920838  0.058492             10   
4           390    0.064764              0.740787  0.148950             18   
5           152    0.069746              0.954732  0.149519             27   
6           336    0.067482              0.960058  0.033604             24   
7           164    0.067029              0.968585  0.121390             19   
8           248    0.073822              0.908271  0.024076             12   
9           158    0.066576              0.726695  0.151626             26   
10           79    0.068841              0.903535  0.169523             28   
11          160    0.064764              0.974825  0.155681             28   
12          174    0.067482              0.881026  0.139026             26   
13           84    0.066123              0.756268  0.162639             20   
14          217    0.068388              0.851366  0.136911             26   
15          241    0.067029              0.909943  0.063588             12   
16          386    0.066123              0.958544  0.027802             16   
17          290    0.067935              0.929194  0.067100             14   
18          446    0.067935              0.980741  0.039011             13   
19          227    0.065670              0.793529  0.139447             25   
20          154    0.067029              0.978152  0.138402             15   
21           45    0.067029              0.923087  0.174513             29   
22          316    0.062953              0.702314  0.137409             27   
23          453    0.063406              0.763907  0.140090             21   
24          102    0.066123              0.788304  0.098525             24   
25          141    0.069746              0.807056  0.124274             29   
26           88    0.069293              0.889203  0.084475             22   
27           84    0.069746              0.824990  0.107062             25   
28          271    0.071105              0.838197  0.136538             29   
29          187    0.066123              0.820886  0.127052             25   
..          ...         ...                   ...       ...            ...   
41          138    0.066576              0.989010  0.047235             16   
42          594    0.068388              0.818737  0.012209             14   
43          183    0.067482              0.711845  0.192960             19   
44          100    0.066123              0.735702  0.173437             24   
45          208    0.066123              0.991118  0.078150             14   
46          101    0.066123              0.764021  0.162183             19   
47          312    0.066123              0.959647  0.077203             26   
48          177    0.070652              0.985799  0.037533             15   
49          195    0.065217              0.824082  0.091734             21   
50           59    0.067482              0.683820  0.626405             21   
51           88    0.076087              0.342286  0.852276             27   
52           83    0.072917              0.657016  0.382760             34   
53           91    0.082880              0.998428  0.452697             41   
54          124    0.074275              0.356757  0.718639             49   
55           65    0.072011              0.720737  0.473105             34   
56           83    0.067935              0.398841  0.314838             30   
57          135    0.064312              0.670548  0.310202             32   
58          130    0.068841              0.985870  0.751043             24   
59          106    0.062953              0.641263  0.389776             21   
60          128    0.068388              0.580444  0.211563             48   
61           57    0.069293              0.555306  0.509022             45   
62           48    0.067935              0.706726  0.399302             43   
63           60    0.067935              0.538110  0.256927             21   
64           89    0.070652              0.756375  0.643624             20   
65           60    0.074728              0.413609  0.534905             38   
66           65    0.072011              0.941794  0.670867             37   
67          107    0.069746              0.869353  0.769495             41   
68           63    0.079257              0.955492  0.724528             37   
69          160    0.083786              0.497275  0.813772             42   
70           86    0.067482              0.526932  0.268507             37   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.898937             100      800     307  0.067935  
1        0.739395             100      800     304  0.069293  
2        0.977190             100      800     189  0.068841  
3        0.601276             100      800     490  0.067029  
4        0.730962             100      800     490  0.065670  
5        0.640387             100      800     252  0.072917  
6        0.793134             100      800     436  0.068388  
7        0.672927             100      800     264  0.067935  
8        0.984622             100      800     348  0.074275  
9        0.526743             100      800     258  0.068388  
10       0.585970             100      800     179  0.070199  
11       0.584206             100      800     260  0.065217  
12       0.632134             100      800     274  0.068841  
13       0.914701             100      800     184  0.067029  
14       0.682046             100      800     317  0.069746  
15       0.597526             100      800     341  0.068388  
16       0.527557             100      800     486  0.066123  
17       0.893709             100      800     390  0.068388  
18       0.707018             100      800     546  0.068388  
19       0.876813             100      800     327  0.068388  
20       0.877993             100      800     254  0.067935  
21       0.776480             100      800     145  0.068388  
22       0.754516             100      800     416  0.064312  
23       0.520323             100      800     553  0.064312  
24       0.691532             100      800     202  0.068388  
25       0.956150             100      800     241  0.070652  
26       0.965378             100      800     188  0.070652  
27       0.748462             100      800     184  0.070652  
28       0.917742             100      800     371  0.072011  
29       0.644044             100      800     287  0.068388  
..            ...             ...      ...     ...       ...  
41       0.605448             100      800     238  0.067935  
42       0.750980             100      800     694  0.070199  
43       0.633698             100      800     283  0.068841  
44       0.941806             100      800     200  0.068388  
45       0.854219             100      800     308  0.066123  
46       0.890839             100      800     201  0.067029  
47       0.947664             100      800     412  0.067482  
48       0.533098             100      800     277  0.072917  
49       0.656078             100      800     295  0.067029  
50       0.689382             100      800     159  0.071558  
51       0.624753             100      800     188  0.080163  
52       0.212552             100      800     183  0.077899  
53       0.211205             100      800     191  0.088768  
54       0.555452             100      800     224  0.075634  
55       0.313231             100      800     165  0.074728  
56       0.421935             100      800     183  0.070199  
57       0.434278             100      800     235  0.067029  
58       0.658326             100      800     230  0.071558  
59       0.592987             100      800     206  0.065670  
60       0.506268             100      800     228  0.068388  
61       0.516610             100      800     157  0.072011  
62       0.517945             100      800     148  0.072464  
63       0.582620             100      800     160  0.071105  
64       0.425669             100      800     189  0.072917  
65       0.489949             100      800     160  0.076993  
66       0.462813             100      800     165  0.076540  
67       0.554823             100      800     207  0.072917  
68       0.245749             100      800     163  0.082428  
69       0.286133             100      800     260  0.086051  
70       0.478908             100      800     186  0.069293  

[71 rows x 10 columns]
