    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0           207    0.066576              0.748616  0.202119             26   
1           204    0.067935              0.906350  0.063338             28   
2            89    0.067935              0.889948  0.196942             15   
3           390    0.066123              0.920838  0.058492             10   
4           390    0.064764              0.740787  0.148950             18   
5           152    0.069746              0.954732  0.149519             27   
6           336    0.067482              0.960058  0.033604             24   
7           164    0.067029              0.968585  0.121390             19   
8           248    0.073822              0.908271  0.024076             12   
9           158    0.066576              0.726695  0.151626             26   
10           79    0.068841              0.903535  0.169523             28   
11          160    0.064764              0.974825  0.155681             28   
12          174    0.067482              0.881026  0.139026             26   
13           84    0.066123              0.756268  0.162639             20   
14          217    0.068388              0.851366  0.136911             26   
15          241    0.067029              0.909943  0.063588             12   
16          386    0.066123              0.958544  0.027802             16   
17          290    0.067935              0.929194  0.067100             14   
18          446    0.067935              0.980741  0.039011             13   
19          227    0.065670              0.793529  0.139447             25   
20          154    0.067029              0.978152  0.138402             15   
21           45    0.067029              0.923087  0.174513             29   
22          316    0.062953              0.702314  0.137409             27   
23          453    0.063406              0.763907  0.140090             21   
24          102    0.066123              0.788304  0.098525             24   
25          141    0.069746              0.807056  0.124274             29   
26           88    0.069293              0.889203  0.084475             22   
27           84    0.069746              0.824990  0.107062             25   
28          271    0.071105              0.838197  0.136538             29   
29          187    0.066123              0.820886  0.127052             25   
30          163    0.070652              0.867793  0.037686             21   
31           81    0.066123              0.824832  0.187423             29   
32           67    0.067482              0.892911  0.198902             12   
33          338    0.067482              0.870486  0.077212             15   
34          353    0.070199              0.919527  0.051688             17   
35           92    0.067029              0.810640  0.124633             21   
36          219    0.065670              0.955348  0.068839             29   
37          205    0.069746              0.915187  0.058984             19   
38          238    0.066123              0.988288  0.092421             22   
39          159    0.064764              0.723732  0.142208             12   
40          232    0.067482              0.763426  0.194028             11   
41          138    0.066576              0.989010  0.047235             16   
42          594    0.068388              0.818737  0.012209             14   
43          183    0.067482              0.711845  0.192960             19   
44          100    0.066123              0.735702  0.173437             24   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.898937             100      800     307  0.067935  
1        0.739395             100      800     304  0.069293  
2        0.977190             100      800     189  0.068841  
3        0.601276             100      800     490  0.067029  
4        0.730962             100      800     490  0.065670  
5        0.640387             100      800     252  0.072917  
6        0.793134             100      800     436  0.068388  
7        0.672927             100      800     264  0.067935  
8        0.984622             100      800     348  0.074275  
9        0.526743             100      800     258  0.068388  
10       0.585970             100      800     179  0.070199  
11       0.584206             100      800     260  0.065217  
12       0.632134             100      800     274  0.068841  
13       0.914701             100      800     184  0.067029  
14       0.682046             100      800     317  0.069746  
15       0.597526             100      800     341  0.068388  
16       0.527557             100      800     486  0.066123  
17       0.893709             100      800     390  0.068388  
18       0.707018             100      800     546  0.068388  
19       0.876813             100      800     327  0.068388  
20       0.877993             100      800     254  0.067935  
21       0.776480             100      800     145  0.068388  
22       0.754516             100      800     416  0.064312  
23       0.520323             100      800     553  0.064312  
24       0.691532             100      800     202  0.068388  
25       0.956150             100      800     241  0.070652  
26       0.965378             100      800     188  0.070652  
27       0.748462             100      800     184  0.070652  
28       0.917742             100      800     371  0.072011  
29       0.644044             100      800     287  0.068388  
30       0.547189             100      800     263  0.071558  
31       0.576164             100      800     181  0.067935  
32       0.680617             100      800     167  0.068841  
33       0.905865             100      800     438  0.069293  
34       0.915842             100      800     453  0.071558  
35       0.875886             100      800     192  0.067935  
36       0.555533             100      800     319  0.067029  
37       0.960439             100      800     305  0.070199  
38       0.833181             100      800     338  0.066576  
39       0.845857             100      800     259  0.067029  
40       0.746965             100      800     332  0.067482  
41       0.605448             100      800     238  0.067935  
42       0.750980             100      800     694  0.070199  
43       0.633698             100      800     283  0.068841  
44       0.941806             100      800     200  0.068388  
