    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0           207    0.066576              0.748616  0.202119             26   
1           204    0.067935              0.906350  0.063338             28   
2            89    0.067935              0.889948  0.196942             15   
3           390    0.066123              0.920838  0.058492             10   
4           390    0.064764              0.740787  0.148950             18   
5           152    0.069746              0.954732  0.149519             27   
6           336    0.067482              0.960058  0.033604             24   
7           164    0.067029              0.968585  0.121390             19   
8           248    0.073822              0.908271  0.024076             12   
9           158    0.066576              0.726695  0.151626             26   
10           79    0.068841              0.903535  0.169523             28   
11          160    0.064764              0.974825  0.155681             28   
12          174    0.067482              0.881026  0.139026             26   
13           84    0.066123              0.756268  0.162639             20   
14          217    0.068388              0.851366  0.136911             26   
15          241    0.067029              0.909943  0.063588             12   
16          386    0.066123              0.958544  0.027802             16   
17          290    0.067935              0.929194  0.067100             14   
18          446    0.067935              0.980741  0.039011             13   
19          227    0.065670              0.793529  0.139447             25   
20          154    0.067029              0.978152  0.138402             15   
21           45    0.067029              0.923087  0.174513             29   
22          316    0.062953              0.702314  0.137409             27   
23          453    0.063406              0.763907  0.140090             21   
24          102    0.066123              0.788304  0.098525             24   
25          141    0.069746              0.807056  0.124274             29   
26           88    0.069293              0.889203  0.084475             22   
27           84    0.069746              0.824990  0.107062             25   
28          271    0.071105              0.838197  0.136538             29   
29          187    0.066123              0.820886  0.127052             25   
..          ...         ...                   ...       ...            ...   
63           60    0.067935              0.538110  0.256927             21   
64           89    0.070652              0.756375  0.643624             20   
65           60    0.074728              0.413609  0.534905             38   
66           65    0.072011              0.941794  0.670867             37   
67          107    0.069746              0.869353  0.769495             41   
68           63    0.079257              0.955492  0.724528             37   
69          160    0.083786              0.497275  0.813772             42   
70           86    0.067482              0.526932  0.268507             37   
71          249    0.073370              0.388785  0.283545             20   
72          185    0.067935              0.859005  0.552058             20   
73           25    0.067029              0.978920  0.590183             38   
74           84    0.066576              0.472814  0.251066             29   
75           69    0.066576              0.835093  0.209357             22   
76           41    0.068388              0.714979  0.787222             28   
77          188    0.071105              0.329565  0.644418             20   
78          189    0.077899              0.390950  0.785469             48   
79          200    0.067935              0.562049  0.542844             21   
80           97    0.072011              0.513651  0.690424             28   
81           54    0.076087              0.769160  0.604139             38   
82           83    0.077446              0.621090  0.274767             34   
83           89    0.078804              0.722491  0.837951             31   
84          194    0.075181              0.412130  0.772669             30   
85          104    0.066576              0.579433  0.351218             40   
86          105    0.067029              0.678331  0.386993             35   
87          253    0.080163              0.614049  0.765359             26   
88           23    0.066576              0.532693  0.391773             43   
89          159    0.069746              0.841131  0.619927             42   
90           30    0.076087              0.942767  0.652655             27   
91           71    0.069293              0.303908  0.449669             31   
92           77    0.096014              0.854286  0.850948             39   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.898937             100      800     307  0.067935  
1        0.739395             100      800     304  0.069293  
2        0.977190             100      800     189  0.068841  
3        0.601276             100      800     490  0.067029  
4        0.730962             100      800     490  0.065670  
5        0.640387             100      800     252  0.072917  
6        0.793134             100      800     436  0.068388  
7        0.672927             100      800     264  0.067935  
8        0.984622             100      800     348  0.074275  
9        0.526743             100      800     258  0.068388  
10       0.585970             100      800     179  0.070199  
11       0.584206             100      800     260  0.065217  
12       0.632134             100      800     274  0.068841  
13       0.914701             100      800     184  0.067029  
14       0.682046             100      800     317  0.069746  
15       0.597526             100      800     341  0.068388  
16       0.527557             100      800     486  0.066123  
17       0.893709             100      800     390  0.068388  
18       0.707018             100      800     546  0.068388  
19       0.876813             100      800     327  0.068388  
20       0.877993             100      800     254  0.067935  
21       0.776480             100      800     145  0.068388  
22       0.754516             100      800     416  0.064312  
23       0.520323             100      800     553  0.064312  
24       0.691532             100      800     202  0.068388  
25       0.956150             100      800     241  0.070652  
26       0.965378             100      800     188  0.070652  
27       0.748462             100      800     184  0.070652  
28       0.917742             100      800     371  0.072011  
29       0.644044             100      800     287  0.068388  
..            ...             ...      ...     ...       ...  
63       0.582620             100      800     160  0.071105  
64       0.425669             100      800     189  0.072917  
65       0.489949             100      800     160  0.076993  
66       0.462813             100      800     165  0.076540  
67       0.554823             100      800     207  0.072917  
68       0.245749             100      800     163  0.082428  
69       0.286133             100      800     260  0.086051  
70       0.478908             100      800     186  0.069293  
71       0.303504             100      800     349  0.076087  
72       0.483989             100      800     285  0.069293  
73       0.557104             100      800     125  0.068841  
74       0.630340             100      800     184  0.068388  
75       0.333750             100      800     169  0.067482  
76       0.640474             100      800     141  0.070652  
77       0.681147             100      800     288  0.073822  
78       0.545283             100      800     289  0.080163  
79       0.591216             100      800     300  0.070652  
80       0.546306             100      800     197  0.075181  
81       0.273973             100      800     154  0.077446  
82       0.261619             100      800     183  0.079710  
83       0.295832             100      800     189  0.084239  
84       0.309942             100      800     294  0.078804  
85       0.557003             100      800     204  0.068388  
86       0.512567             100      800     205  0.070199  
87       0.295577             100      800     353  0.082428  
88       0.616029             100      800     123  0.069746  
89       0.337589             100      800     259  0.071558  
90       0.337514             100      800     130  0.081522  
91       0.679253             100      800     171  0.071558  
92       0.225119             100      800     177  0.096920  

[93 rows x 10 columns]
